puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,random_selection_rate,nb_children,restart_after_n_stagnant
4,0,4,265.98,1000,2000,0.3,1000,0.4,0.1,4,100
2,0,2,659.76,1000,5000,0.1,1000,0.2,0.3,4,100
9,0,2,726.49,1000,5000,0.3,1000,0.3,0.1,5,100
4,0,6,266.45,1000,2000,0.2,1000,0.1,0.4,4,100
7,0,2,671.45,1000,5000,0.3,1000,0.4,0.1,4,100
5,0,2,293.16,1000,2000,0.2,1000,0.2,0.2,5,100
6,0,2,267.7,1000,2000,0.1,1000,0.1,0.4,4,100
6,0,2,66.65,1000,500,0.2,1000,0.1,0.4,4,100
2,0,4,294.21,1000,2000,0.1,1000,0.1,0.3,5,100
4,0,4,668.12,1000,5000,0.1,1000,0.2,0.3,4,100
9,0,7,65.98,1000,500,0.1,1000,0.2,0.3,4,100
2,0,2,267.77,1000,2000,0.05,1000,0.4,0.1,4,100
6,0,5,66.15,1000,500,0.1,1000,0.3,0.2,4,100
3,0,2,265.11,1000,2000,0.2,1000,0.4,0.1,4,100
0,0,2,71.79,1000,500,0.1,1000,0.3,0.1,5,100
8,0,2,675.97,1000,5000,0.3,1000,0.1,0.4,4,100
6,0,2,265.68,1000,2000,0.1,1000,0.2,0.3,4,100
6,0,4,65.17,1000,500,0.1,1000,0.2,0.3,4,100
0,0,4,267.5,1000,2000,0.1,1000,0.2,0.3,4,100
5,0,2,66.04,1000,500,0.1,1000,0.2,0.3,4,100
1,0,3,661.28,1000,5000,0.05,1000,0.2,0.3,4,100
2,0,4,66.12,1000,500,0.3,1000,0.2,0.3,4,100
9,0,4,68.09,1000,500,0.2,1000,0.2,0.3,4,100
10,0,8,68.31,1000,500,0.05,1000,0.3,0.2,4,100
0,0,4,265.43,1000,2000,0.1,1000,0.4,0.1,4,100
7,0,2,264.12,1000,2000,0.05,1000,0.1,0.4,4,100
4,0,4,265.25,1000,2000,0.05,1000,0.1,0.4,4,100
7,0,2,266.37,1000,2000,0.3,1000,0.2,0.3,4,100
1,0,4,738.26,1000,5000,0.1,1000,0.3,0.1,5,100
8,0,4,271.53,1000,2000,0.3,1000,0.3,0.2,4,100
0,0,5,72.22,1000,500,0.05,1000,0.3,0.1,5,100
3,0,2,288.55,1000,2000,0.1,1000,0.2,0.2,5,100
7,0,2,719.63,1000,5000,0.1,1000,0.3,0.1,5,100
4,0,2,336.68,1000,2000,0.2,1000,0.1,0.1,10,100
0,0,7,64.89,1000,500,0.1,1000,0.1,0.4,4,100
6,0,2,282.86,1000,2000,0.3,1000,0.2,0.2,5,100
4,0,2,715.07,1000,5000,0.1,1000,0.2,0.2,5,100
2,0,2,650.0,1000,5000,0.3,1000,0.2,0.3,4,100
10,0,4,259.74,1000,2000,0.05,1000,0.1,0.4,4,100
5,0,3,340.19,1000,2000,0.2,1000,0.1,0.1,10,100
3,0,6,64.55,1000,500,0.05,1000,0.3,0.2,4,100
2,0,2,650.6,1000,5000,0.3,1000,0.2,0.3,4,100
0,0,4,64.82,1000,500,0.2,1000,0.3,0.2,4,100
1,0,2,71.77,1000,500,0.3,1000,0.2,0.2,5,100
3,0,2,284.42,1000,2000,0.3,1000,0.1,0.3,5,100
7,0,2,284.28,1000,2000,0.05,1000,0.1,0.3,5,100
10,0,2,64.83,1000,500,0.1,1000,0.3,0.2,4,100
3,0,2,64.84,1000,500,0.2,1000,0.2,0.3,4,100
5,0,2,646.35,1000,5000,0.2,1000,0.2,0.3,4,100
9,0,4,64.09,1000,500,0.3,1000,0.4,0.1,4,100
6,0,4,650.1,1000,5000,0.3,1000,0.1,0.4,4,100
